Album,Artist,Week,Rank
Rotary Connection,Rotary Connection,25,164
Soul Serenade,Willie Mitchell,25,165
George M!,Original Cast,25,166
I Never Loved A Man The Way I Love You,Aretha Franklin,25,167
Hello Dummy!,Don Rickles,25,168
Otis Redding Live In Europe,Otis Redding,25,169
Johnny's Greatest Hits,Johnny Mathis,25,170
Ridin' High,Martha & The Vandellas,25,171
This Is Soul,Various Artists,25,172
Goin' To Memphis,Paul Revere & The Raiders,25,173
Greatest Hits,The Righteous Brothers,25,174
Quicksilver Messenger Service,Quicksilver Messenger Service,25,175
Journey To The Center Of The Mind,The Amboy Dukes,25,176
Take Good Care Of My Baby,Bobby Vinton,25,177
Hickory Holler Revisited,O.C. Smith,25,178
The Other Man's Grass Is Always Greener,Petula Clark,25,179
Lumpy Gravy,The Abnuceals Emuukha Electric Symphony Orchestra And Chorus,25,180
Collections,The Rascals,25,181
The Mighty Quinn,Manfred Mann,25,182
A New Place In The Sun,Glen Campbell,25,183
The Magic Garden,The 5th Dimension,25,184
The Great March To Freedom,"Rev. Martin Luther King, Jr.",25,185
I-Feel-Like-I'm-Fixin'-To-Die,Country Joe & The Fish,25,186
For The First Time,Brenda Lee,25,187
The United States Of America,U,25,188
Love Is Blue,Lawrence Welk,25,189
Mauriat Magic,Paul Mauriat,25,190
Groovin' With The Soulful Strings,The Soulful Strings,25,191
Just Today,Bobby Vee,25,192
Fever Tree,Fever Tree,25,193
Joni Mitchell,Joni Mitchell,25,194
Flights Of Fantasy,The Ventures,25,195
Gentle On My Mind,Lenny Dee,25,196
Somewhere My Love,Ray Conniff,25,197
Sergio Mendes' Favorite Things,Sergio Mendes,25,198
Master Jack,Four Jacks And A Jill,25,199
SRO,Herb Alpert & The Tijuana Brass,25,200
Bookends,Simon & Garfunkel,26,1
The Graduate,Soundtrack,26,2
Beat Of The Brass,Herb Alpert & The Tijuana Brass,26,3
Disraeli Gears,Cream,26,4
Honey,Bobby Goldsboro,26,5
Look Around,Sergio Mendes,26,6
"The Birds, The Bees & The Monkees",The Monkees,26,7
Are You Experienced?,Jimi Hendrix,26,8
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",26,9
"The Good, The Bad And The Ugly",Soundtrack,26,10
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,26,11
A Tramp Shining,Richard Harris,26,12
"To Russell, My Brother, Whom I Slept With",Bill Cosby,26,13
Goin' Out Of My Head,The Lettermen,26,14
Aretha: Lady Soul,Aretha Franklin,26,15
God Bless Tiny Tim,Tiny Tim,26,16
Blooming Hits,Paul Mauriat And His Orchestra,26,17
Nancy & Lee,Nancy Sinatra,26,18
Reflections,The Supremes,26,19
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,26,20
The Papas & The Mamas,The Mamas & The Papas,26,21
The Doors,The Doors,26,22
Bonnie And Clyde,Soundtrack,26,23
The Unicorn,The Irish Rovers,26,24
By The Time I Get To Phoenix,Glen Campbell,26,25
Sounds Of Silence,Simon & Garfunkel,26,26
The Dock Of The Bay,Otis Redding,26,27
Doctor Zhivago,Soundtrack,26,28
Love Is Blue,Claudine Longet,26,29
Love Is Blue,Johnny Mathis,26,30
Who Will Answer? And Other Songs Of Our Time,Ed Ames,26,31
Magical Mystery Tour (Soundtrack),The Beatles,26,32
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,26,33
Wish It Would Rain,The Temptations,26,34
Valley Of The Dolls,Dionne Warwick,26,35
The Four Tops Greatest Hits,Four Tops,26,36
Young Girl,Gary Puckett And The Union Gap,26,37
Once Upon A Dream,The Rascals,26,38
John Wesley Harding,Bob Dylan,26,39
Honey,Andy Williams,26,40
Birthday,The Association,26,41
It Must Be Him,Ray Conniff,26,42
Wildflowers,Judy Collins,26,43
Wow,Moby Grape,26,44
Greatest Hits,Stevie Wonder,26,45
"Hey, Little One",Glen Campbell,26,46
"Greatest Hits, Vol. 2",The Miracles,26,47
Camelot,Soundtrack,26,48
A Long Time Comin',Electric Flag,26,49
Dean Martin's Greatest Hits! Vol. 1,Dean Martin,26,50
The Sound Of Music,Soundtrack,26,51
Up Pops Ramsey Lewis,Ramsey Lewis,26,52
A Portrait Of Ray,Ray Charles,26,53
"The Lettermen!!!...And ""Live!""",The Lettermen,26,54
Axis: Bold As Love,The Jimi Hendrix Experience,26,55
Love Is Blue,Al Martino,26,56
Vanilla Fudge,Vanilla Fudge,26,57
Jungle Book,Soundtrack,26,58
Cry Like A Baby,The Box Tops,26,59
Down Here On The Ground,Wes Montgomery,26,60
Like To Get To Know You,Spanky And Our Gang,26,61
We're A Winner,The Impressions,26,62
Fortuosity,The Mills Brothers,26,63
Child Is Father To The Man,"Blood, Sweat & Tears",26,64
Gentle On My Mind,Glen Campbell,26,65
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,26,66
Vincebus Eruptum,Blue Cheer,26,67
History Of Otis Redding,Otis Redding,26,68
Alice's Restaurant,Soundtrack,26,69
"Elvis' Gold Records, Volume 4",Elvis Presley,26,70
Honey,Ray Conniff,26,71
A Day In The Life,Wes Montgomery,26,72
The Electrifying Eddie Harris,Eddie Harris,26,73
The Temptations Greatest Hits,The Temptations,26,74
The Time Has Come,The Chambers Brothers,26,75
Valley Of The Dolls,Soundtrack,26,76
Ultimate Spinach,Ultimate,26,77
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,26,78
Easy,Nancy Wilson,26,79
Vikki!,Vikki Carr,26,80
Strange Days,The Doors,26,81
Farewell To The First Golden Era,The Mamas & The Papas,26,82
The Mantovani Touch,Mantovani,26,83
Johnny Cash At Folsom Prison,Johnny Cash,26,84
The Sea,San Sebastian,26,85
The Twain Shall Meet,The Animals,26,86
There Is,The Dells,26,87
Mr. Fantasy,Traffic,26,88
Steppenwolf,Steppenwolf,26,89
The Last Waltz,Engelbert Humperdinck,26,90
Fresh Cream,Cream,26,91
The Romantic World Of Eddy Arnold,Eddy Arnold,26,92
The Promise Of A Future,Hugh Masekela,26,93
Release Me,Engelbert Humperdinck,26,94
Heavy,Iron Butterfly,26,95
The Tom Jones Fever Zone,Tom Jones,26,96
Revenge,Bill Cosby,26,97
Days Of Future Past,The Moody Blues With The London Festival Orchestra (Knight),26,98
"Woman, Woman",Gary Puckett And The Union Gap,26,99
Spirit,Spirit,26,100
The Temptations In A Mellow Mood,The Temptations,26,101
The Beat Goes On,Vanilla Fudge,26,102
Music From Mission: Impossible,Lalo Schifrin,26,103
Boogie With Canned Heat,Canned Heat,26,104
!!Going Places!!,Herb Alpert & The Tijuana Brass,26,105
My Cup Runneth Over,Ed Ames,26,106
The Circle Game,Tom Rush,26,107
Doctor Dolittle,Soundtrack,26,108
Born Free,Andy Williams,26,109
What Now My Love,Herb Alpert & The Tijuana Brass,26,110
Insight Out,The Association,26,111
Feelin' Good,Lou Rawls,26,112
Love Is All Around,The Troggs,26,113
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,26,114
A Man And A Woman,Soundtrack,26,115
Cowboys & Colored People,FLiP,26,116
Their Satanic Majesties Request,The Rolling Stones,26,117
La La Means I Love You,The Delfonics,26,118
Welcome To My World,Dean Martin,26,119
Movin' With Nancy,Nancy Sinatra,26,120
Man Of La Mancha,Original Cast,26,121
Groovin',The Rascals,26,122
Super Hits,Various Artists,26,123
Four Tops Reach Out,Four Tops,26,124
The Turtles! Golden Hits,The Turtles,26,125
"Up, Up And Away",The 5th Dimension,26,126
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,26,127
Sergio Mendes & Brasil '66,Sergio Mendes,26,128
Camelot,Original Cast Recording,26,129
The Everlovin' World Of Eddy Arnold,Eddy Arnold,26,130
Jimmy Smith's Greatest Hits!,Jimmy Smith,26,131
Hello Dummy!,Don Rickles,26,132
Bee Gees' 1st,Bee Gees,26,133
We're Only In It For The Money,Mothers Of Invention,26,134
The Blues Alone,John Mayall,26,135
"Bill Cosby Is A Very Funny Fellow, Right!",Bill Cosby,26,136
It Must Be Him,Vikki Carr,26,137
The Best Of Wilson Pickett,Wilson Pickett,26,138
Soul Coaxing (Ame Caline),Raymond Lefevre and His Orchestra,26,139
Horizontal,Bee Gees,26,140
Please Love Me Forever,Bobby Vinton,26,141
The Best Of Wes Montgomery,Wes Montgomery,26,142
More Mauriat,Paul Mauriat,26,143
Children Of The Future,The Steve Miller Band,26,144
For Those In Love,Percy Faith,26,145
"Wednesday Morning, 3 AM",Simon & Garfunkel,26,146
You Devil You,FLiP,26,147
Reach Out,Burt Bacharach,26,148
Mantovani/Tango,Mantovani,26,149
United,Tammi Terrell,26,150
"Love, Andy",Andy Williams,26,151
Take Time To Know Her,Percy Sledge,26,152
Tighten Up,Archie Bell & The Drells,26,153
Why Is There Air?,Bill Cosby,26,154
"The Good, The Bad And The Ugly And Other Motion Picture Themes",L,26,155
Johnny's Greatest Hits,Johnny Mathis,26,156
Bacchanal,Gabor Szabo,26,157
Feelin' Bluesy,Gladys Knight And The Pips,26,158
I Got The Feelin',James Brown,26,159
Mauriat Magic,Paul Mauriat,26,160
George M!,Original Cast,26,161
Realization,Johnny Rivers,26,162
Super Oldies/Vol. 3,Various Artists,26,163
Lumpy Gravy,The Abnuceals Emuukha Electric Symphony Orchestra And Chorus,26,164
Rotary Connection,Rotary Connection,26,165
Journey To The Center Of The Mind,The Amboy Dukes,26,166
Mozart: Piano Concertos Nos. 17 & 21,Geza Anda,26,167
A New Place In The Sun,Glen Campbell,26,168
The Sky,San Sebastian,26,169
Ridin' High,Martha & The Vandellas,26,170
The Magic Garden,The 5th Dimension,26,171
Greatest Hits,The Righteous Brothers,26,172
Quicksilver Messenger Service,Quicksilver Messenger Service,26,173
Hickory Holler Revisited,O.C. Smith,26,174
Take Good Care Of My Baby,Bobby Vinton,26,175
The Other Man's Grass Is Always Greener,Petula Clark,26,176
Goin' To Memphis,Paul Revere & The Raiders,26,177
Fever Tree,Fever Tree,26,178
Master Jack,Four Jacks And A Jill,26,179
Collections,The Rascals,26,180
I Never Loved A Man The Way I Love You,Aretha Franklin,26,181
Love Rhapsodies,Midnight String Quartet,26,182
The Mighty Quinn,Manfred Mann,26,183
Otis Redding Live In Europe,Otis Redding,26,184
I-Feel-Like-I'm-Fixin'-To-Die,Country Joe & The Fish,26,185
This Is Soul,Various Artists,26,186
Original Theme From Bonnie & Clyde,Flatt & Scruggs,26,187
The United States Of America,U,26,188
The Mason Williams Phonograph Record,Mason Williams,26,189
Something Else Again,Richie Havens,26,190
SRO,Herb Alpert & The Tijuana Brass,26,191
Groovin' With The Soulful Strings,The Soulful Strings,26,192
The Best Of Eddy Arnold,Eddy Arnold,26,193
Joni Mitchell,Joni Mitchell,26,194
Flights Of Fantasy,The Ventures,26,195
Somewhere My Love,Ray Conniff,26,196
Sergio Mendes' Favorite Things,Sergio Mendes,26,197
Bob Dylan's Greatest Hits,Bob Dylan,26,198
Goin' Places,John Davidson,26,199
Another Place Another Time,Jerry Lee Lewis,26,200
Bookends,Simon & Garfunkel,27,1
The Graduate,Soundtrack,27,2
Beat Of The Brass,Herb Alpert & The Tijuana Brass,27,3
Disraeli Gears,Cream,27,4
A Tramp Shining,Richard Harris,27,5
Look Around,Sergio Mendes,27,6
"The Birds, The Bees & The Monkees",The Monkees,27,7
Honey,Bobby Goldsboro,27,8
Are You Experienced?,Jimi Hendrix,27,9
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,27,10
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",27,11
"The Good, The Bad And The Ugly",Soundtrack,27,12
"To Russell, My Brother, Whom I Slept With",Bill Cosby,27,13
Goin' Out Of My Head,The Lettermen,27,14
God Bless Tiny Tim,Tiny Tim,27,15
Aretha: Lady Soul,Aretha Franklin,27,16
The Papas & The Mamas,The Mamas & The Papas,27,17
Blooming Hits,Paul Mauriat And His Orchestra,27,18
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,27,19
Nancy & Lee,Nancy Sinatra,27,20
The Doors,The Doors,27,21
Reflections,The Supremes,27,22
The Dock Of The Bay,Otis Redding,27,23
By The Time I Get To Phoenix,Glen Campbell,27,24
Sounds Of Silence,Simon & Garfunkel,27,25
The Unicorn,The Irish Rovers,27,26
Young Girl,Gary Puckett And The Union Gap,27,27
Love Is Blue,Johnny Mathis,27,28
Wish It Would Rain,The Temptations,27,29
Doctor Zhivago,Soundtrack,27,30
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,27,31
Who Will Answer? And Other Songs Of Our Time,Ed Ames,27,32
Magical Mystery Tour (Soundtrack),The Beatles,27,33
The Four Tops Greatest Hits,Four Tops,27,34
Valley Of The Dolls,Dionne Warwick,27,35
Camelot,Soundtrack,27,36
Honey,Andy Williams,27,37
Greatest Hits,Stevie Wonder,27,38
Bonnie And Clyde,Soundtrack,27,39
Birthday,The Association,27,40
Wildflowers,Judy Collins,27,41
Love Is Blue,Claudine Longet,27,42
John Wesley Harding,Bob Dylan,27,43
Dean Martin's Greatest Hits! Vol. 1,Dean Martin,27,44
The Sound Of Music,Soundtrack,27,45
Once Upon A Dream,The Rascals,27,46
"Greatest Hits, Vol. 2",The Miracles,27,47
A Long Time Comin',Electric Flag,27,48
"Hey, Little One",Glen Campbell,27,49
Wow,Moby Grape,27,50
Johnny Cash At Folsom Prison,Johnny Cash,27,51
Up Pops Ramsey Lewis,Ramsey Lewis,27,52
A Portrait Of Ray,Ray Charles,27,53
Jungle Book,Soundtrack,27,54
Honey,Ray Conniff,27,55
Axis: Bold As Love,The Jimi Hendrix Experience,27,56
"The Lettermen!!!...And ""Live!""",The Lettermen,27,57
Vanilla Fudge,Vanilla Fudge,27,58
Cry Like A Baby,The Box Tops,27,59
A Day In The Life,Wes Montgomery,27,60
Like To Get To Know You,Spanky And Our Gang,27,61
The Electrifying Eddie Harris,Eddie Harris,27,62
We're A Winner,The Impressions,27,63
Down Here On The Ground,Wes Montgomery,27,64
History Of Otis Redding,Otis Redding,27,65
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,27,66
The Temptations Greatest Hits,The Temptations,27,67
Gentle On My Mind,Glen Campbell,27,68
The Promise Of A Future,Hugh Masekela,27,69
Child Is Father To The Man,"Blood, Sweat & Tears",27,70
Love Is Blue,Al Martino,27,71
Valley Of The Dolls,Soundtrack,27,72
The Tom Jones Fever Zone,Tom Jones,27,73
Easy,Nancy Wilson,27,74
Vincebus Eruptum,Blue Cheer,27,75
Fortuosity,The Mills Brothers,27,76
There Is,The Dells,27,77
Ultimate Spinach,Ultimate,27,78
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,27,79
Strange Days,The Doors,27,80
Farewell To The First Golden Era,The Mamas & The Papas,27,81
The Romantic World Of Eddy Arnold,Eddy Arnold,27,82
The Sea,San Sebastian,27,83
The Time Has Come,The Chambers Brothers,27,84
Steppenwolf,Steppenwolf,27,85
The Twain Shall Meet,The Animals,27,86
Alice's Restaurant,Soundtrack,27,87
Mr. Fantasy,Traffic,27,88
Fresh Cream,Cream,27,89
The Last Waltz,Engelbert Humperdinck,27,90
"Elvis' Gold Records, Volume 4",Elvis Presley,27,91
"Up, Up And Away",The 5th Dimension,27,92
It Must Be Him,Ray Conniff,27,93
Heavy,Iron Butterfly,27,94
Release Me,Engelbert Humperdinck,27,95
Boogie With Canned Heat,Canned Heat,27,96
Days Of Future Past,The Moody Blues With The London Festival Orchestra (Knight),27,97
Revenge,Bill Cosby,27,98
Spirit,Spirit,27,99
"Woman, Woman",Gary Puckett And The Union Gap,27,100
The Temptations In A Mellow Mood,The Temptations,27,101
Vikki!,Vikki Carr,27,102
Feelin' Good,Lou Rawls,27,103
!!Going Places!!,Herb Alpert & The Tijuana Brass,27,104
What Now My Love,Herb Alpert & The Tijuana Brass,27,105
The Beat Goes On,Vanilla Fudge,27,106
Born Free,Andy Williams,27,107
Doctor Dolittle,Soundtrack,27,108
My Cup Runneth Over,Ed Ames,27,109
The Mantovani Touch,Mantovani,27,110
Music From Mission: Impossible,Lalo Schifrin,27,111
The Circle Game,Tom Rush,27,112
Their Satanic Majesties Request,The Rolling Stones,27,113
Cowboys & Colored People,FLiP,27,114
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,27,115
Sergio Mendes & Brasil '66,Sergio Mendes,27,116
Groovin',The Rascals,27,117
Insight Out,The Association,27,118
Welcome To My World,Dean Martin,27,119
The Turtles! Golden Hits,The Turtles,27,120
Man Of La Mancha,Original Cast,27,121
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,27,122
Four Tops Reach Out,Four Tops,27,123
Hello Dummy!,Don Rickles,27,124
La La Means I Love You,The Delfonics,27,125
Super Hits,Various Artists,27,126
It Must Be Him,Vikki Carr,27,127
The Blues Alone,John Mayall,27,128
"Wednesday Morning, 3 AM",Simon & Garfunkel,27,129
Camelot,Original Cast Recording,27,130
More Mauriat,Paul Mauriat,27,131
Movin' With Nancy,Nancy Sinatra,27,132
Horizontal,Bee Gees,27,133
Children Of The Future,The Steve Miller Band,27,134
Please Love Me Forever,Bobby Vinton,27,135
Bee Gees' 1st,Bee Gees,27,136
The Best Of Wes Montgomery,Wes Montgomery,27,137
"The Good, The Bad And The Ugly And Other Motion Picture Themes",L,27,138
Soul Coaxing (Ame Caline),Raymond Lefevre and His Orchestra,27,139
We're Only In It For The Money,Mothers Of Invention,27,140
Super Oldies/Vol. 3,Various Artists,27,141
A Man And A Woman,Soundtrack,27,142
The Best Of Wilson Pickett,Wilson Pickett,27,143
Why Is There Air?,Bill Cosby,27,144
The Everlovin' World Of Eddy Arnold,Eddy Arnold,27,145
Reach Out,Burt Bacharach,27,146
Love Is All Around,The Troggs,27,147
Mantovani/Tango,Mantovani,27,148
"Love, Andy",Andy Williams,27,149
United,Tammi Terrell,27,150
For Those In Love,Percy Faith,27,151
Johnny's Greatest Hits,Johnny Mathis,27,152
Tighten Up,Archie Bell & The Drells,27,153
Realization,Johnny Rivers,27,154
Master Jack,Four Jacks And A Jill,27,155
Mauriat Magic,Paul Mauriat,27,156
You Devil You,FLiP,27,157
Fever Tree,Fever Tree,27,158
Lumpy Gravy,The Abnuceals Emuukha Electric Symphony Orchestra And Chorus,27,159
Rotary Connection,Rotary Connection,27,160
The Sky,San Sebastian,27,161
The Magic Garden,The 5th Dimension,27,162
Bob Dylan's Greatest Hits,Bob Dylan,27,163
A New Place In The Sun,Glen Campbell,27,164
Journey To The Center Of The Mind,The Amboy Dukes,27,165
Mozart: Piano Concertos Nos. 17 & 21,Geza Anda,27,166
Ridin' High,Martha & The Vandellas,27,167
Quicksilver Messenger Service,Quicksilver Messenger Service,27,168
I Got The Feelin',James Brown,27,169
Feelin' Bluesy,Gladys Knight And The Pips,27,170
Goin' Places,John Davidson,27,171
Take Good Care Of My Baby,Bobby Vinton,27,172
Hickory Holler Revisited,O.C. Smith,27,173
Goin' To Memphis,Paul Revere & The Raiders,27,174
Greatest Hits,The Righteous Brothers,27,175
I Never Loved A Man The Way I Love You,Aretha Franklin,27,176
Collections,The Rascals,27,177
Love Rhapsodies,Midnight String Quartet,27,178
Friends,The Beach Boys,27,179
Another Place Another Time,Jerry Lee Lewis,27,180
SRO,Herb Alpert & The Tijuana Brass,27,181
"Bill Cosby Is A Very Funny Fellow, Right!",Bill Cosby,27,182
Mixed Bag,Richie Havens,27,183
The Other Man's Grass Is Always Greener,Petula Clark,27,184
Soul Directions,Arthur Conley,27,185
This Is Soul,Various Artists,27,186
Something Else Again,Richie Havens,27,187
The Best Of Eddy Arnold,Eddy Arnold,27,188
The Mason Williams Phonograph Record,Mason Williams,27,189
Wild In The Streets,Soundtrack,27,190
Ohio Express,Ohio Express,27,191
The Best Of Sonny & Cher,Sonny & Cher,27,192
Speedway,Elvis Presley,27,193
Somewhere My Love,Ray Conniff,27,194
Heads Up!,Baja Marimba Band,27,195
Album 1700,"Peter, Paul & Mary",27,196
The Young Rascals,The Rascals,27,197
Golden Greats By The Ventures,The Ventures,27,198
The Story Of Bonnie & Clyde,Flatt & Scruggs,27,199
One More Time,Wayne Newton,27,200
Bookends,Simon & Garfunkel,28,1
Beat Of The Brass,Herb Alpert & The Tijuana Brass,28,2
The Graduate,Soundtrack,28,3
A Tramp Shining,Richard Harris,28,4
Look Around,Sergio Mendes,28,5
Disraeli Gears,Cream,28,6
God Bless Tiny Tim,Tiny Tim,28,7
Are You Experienced?,Jimi Hendrix,28,8
Honey,Bobby Goldsboro,28,9
"The Birds, The Bees & The Monkees",The Monkees,28,10
"To Russell, My Brother, Whom I Slept With",Bill Cosby,28,11
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",28,12
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,28,13
"The Good, The Bad And The Ugly",Soundtrack,28,14
Honey,Andy Williams,28,15
Aretha: Lady Soul,Aretha Franklin,28,16
The Papas & The Mamas,The Mamas & The Papas,28,17
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,28,18
By The Time I Get To Phoenix,Glen Campbell,28,19
The Doors,The Doors,28,20
Blooming Hits,Paul Mauriat And His Orchestra,28,21
Young Girl,Gary Puckett And The Union Gap,28,22
The Dock Of The Bay,Otis Redding,28,23
Goin' Out Of My Head,The Lettermen,28,24
Nancy & Lee,Nancy Sinatra,28,25
Wish It Would Rain,The Temptations,28,26
The Unicorn,The Irish Rovers,28,27
Love Is Blue,Johnny Mathis,28,28
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,28,29
Doctor Zhivago,Soundtrack,28,30
The Four Tops Greatest Hits,Four Tops,28,31
Who Will Answer? And Other Songs Of Our Time,Ed Ames,28,32
Sounds Of Silence,Simon & Garfunkel,28,33
Magical Mystery Tour (Soundtrack),The Beatles,28,34
Camelot,Soundtrack,28,35
Wildflowers,Judy Collins,28,36
Greatest Hits,Stevie Wonder,28,37
Dean Martin's Greatest Hits! Vol. 1,Dean Martin,28,38
Valley Of The Dolls,Dionne Warwick,28,39
Birthday,The Association,28,40
Reflections,The Supremes,28,41
Bonnie And Clyde,Soundtrack,28,42
Love Is Blue,Claudine Longet,28,43
John Wesley Harding,Bob Dylan,28,44
Johnny Cash At Folsom Prison,Johnny Cash,28,45
Honey,Ray Conniff,28,46
Once Upon A Dream,The Rascals,28,47
"Greatest Hits, Vol. 2",The Miracles,28,48
"Hey, Little One",Glen Campbell,28,49
The Electrifying Eddie Harris,Eddie Harris,28,50
The Sound Of Music,Soundtrack,28,51
Wow,Moby Grape,28,52
Jungle Book,Soundtrack,28,53
Wheels Of Fire,Cream,28,54
A Day In The Life,Wes Montgomery,28,55
A Portrait Of Ray,Ray Charles,28,56
"The Lettermen!!!...And ""Live!""",The Lettermen,28,57
Like To Get To Know You,Spanky And Our Gang,28,58
The Promise Of A Future,Hugh Masekela,28,59
Vanilla Fudge,Vanilla Fudge,28,60
Axis: Bold As Love,The Jimi Hendrix Experience,28,61
There Is,The Dells,28,62
The Tom Jones Fever Zone,Tom Jones,28,63
Down Here On The Ground,Wes Montgomery,28,64
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,28,65
The Temptations Greatest Hits,The Temptations,28,66
Cry Like A Baby,The Box Tops,28,67
A Long Time Comin',Electric Flag,28,68
We're A Winner,The Impressions,28,69
History Of Otis Redding,Otis Redding,28,70
The Sea,San Sebastian,28,71
Strange Days,The Doors,28,72
Easy,Nancy Wilson,28,73
Gentle On My Mind,Glen Campbell,28,74
Vincebus Eruptum,Blue Cheer,28,75
The Romantic World Of Eddy Arnold,Eddy Arnold,28,76
Fortuosity,The Mills Brothers,28,77
Up Pops Ramsey Lewis,Ramsey Lewis,28,78
Time Peace/The Rascals' Greatest Hits,The Rascals,28,79
Farewell To The First Golden Era,The Mamas & The Papas,28,80
Fresh Cream,Cream,28,81
Boogie With Canned Heat,Canned Heat,28,82
Valley Of The Dolls,Soundtrack,28,83
Steppenwolf,Steppenwolf,28,84
The Twain Shall Meet,The Animals,28,85
Ultimate Spinach,Ultimate,28,86
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,28,87
"Up, Up And Away",The 5th Dimension,28,88
The Time Has Come,The Chambers Brothers,28,89
Aretha Now,Aretha Franklin,28,90
Alice's Restaurant,Soundtrack,28,91
It Must Be Him,Ray Conniff,28,92
Heavy,Iron Butterfly,28,93
Mr. Fantasy,Traffic,28,94
Spirit,Spirit,28,95
Days Of Future Past,The Moody Blues With The London Festival Orchestra (Knight),28,96
Release Me,Engelbert Humperdinck,28,97
!!Going Places!!,Herb Alpert & The Tijuana Brass,28,98
"Woman, Woman",Gary Puckett And The Union Gap,28,99
The Beat Goes On,Vanilla Fudge,28,100
The Last Waltz,Engelbert Humperdinck,28,101
The Temptations In A Mellow Mood,The Temptations,28,102
"Elvis' Gold Records, Volume 4",Elvis Presley,28,103
What Now My Love,Herb Alpert & The Tijuana Brass,28,104
Love Is Blue,Al Martino,28,105
Together,Country Joe & The Fish,28,106
"Wednesday Morning, 3 AM",Simon & Garfunkel,28,107
Music From Mission: Impossible,Lalo Schifrin,28,108
Doctor Dolittle,Soundtrack,28,109
Cowboys & Colored People,FLiP,28,110
Man Of La Mancha,Original Cast,28,111
My Cup Runneth Over,Ed Ames,28,112
The Circle Game,Tom Rush,28,113
Sergio Mendes & Brasil '66,Sergio Mendes,28,114
Hello Dummy!,Don Rickles,28,115
Their Satanic Majesties Request,The Rolling Stones,28,116
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,28,117
Four Tops Reach Out,Four Tops,28,118
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,28,119
Insight Out,The Association,28,120
It Must Be Him,Vikki Carr,28,121
Welcome To My World,Dean Martin,28,122
The Best Of Wes Montgomery,Wes Montgomery,28,123
The Turtles! Golden Hits,The Turtles,28,124
Born Free,Andy Williams,28,125
Groovin',The Rascals,28,126
More Mauriat,Paul Mauriat,28,127
Revenge,Bill Cosby,28,128
The Mantovani Touch,Mantovani,28,129
Realization,Johnny Rivers,28,130
Reach Out,Burt Bacharach,28,131
Movin' With Nancy,Nancy Sinatra,28,132
Feelin' Good,Lou Rawls,28,133
Please Love Me Forever,Bobby Vinton,28,134
Super Hits,Various Artists,28,135
Camelot,Original Cast Recording,28,136
Super Oldies/Vol. 3,Various Artists,28,137
"The Good, The Bad And The Ugly And Other Motion Picture Themes",L,28,138
The Blues Alone,John Mayall,28,139
Soul Coaxing (Ame Caline),Raymond Lefevre and His Orchestra,28,140
Mauriat Magic,Paul Mauriat,28,141
Bee Gees' 1st,Bee Gees,28,142
The Best Of Wilson Pickett,Wilson Pickett,28,143
We're Only In It For The Money,Mothers Of Invention,28,144
A New Place In The Sun,Glen Campbell,28,145
Journey To The Center Of The Mind,The Amboy Dukes,28,146
The Everlovin' World Of Eddy Arnold,Eddy Arnold,28,147
Mantovani/Tango,Mantovani,28,148
Johnny's Greatest Hits,Johnny Mathis,28,149
Child Is Father To The Man,"Blood, Sweat & Tears",28,150
"Love, Andy",Andy Williams,28,151
Love Is All Around,The Troggs,28,152
United,Tammi Terrell,28,153
You Devil You,FLiP,28,154
Master Jack,Four Jacks And A Jill,28,155
Fever Tree,Fever Tree,28,156
Tighten Up,Archie Bell & The Drells,28,157
The Mason Williams Phonograph Record,Mason Williams,28,158
Friends,The Beach Boys,28,159
The Sky,San Sebastian,28,160
Bob Dylan's Greatest Hits,Bob Dylan,28,161
The Magic Garden,The 5th Dimension,28,162
Hickory Holler Revisited,O.C. Smith,28,163
For Those In Love,Percy Faith,28,164
Rotary Connection,Rotary Connection,28,165
Goin' Places,John Davidson,28,166
